PARQUE;Especie;Nº de ejemplares;;;;;
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;6.377;;;;;
JARDINES DEL BUEN RETIRO;Platanus hispanica;941;;;;;
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;734;;;;;
JARDINES DEL BUEN RETIRO;Trachycarpus fortunei;652;;;;;
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;574;;;;;
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;545;;;;;
JARDINES DEL BUEN RETIRO;Celtis australis;543;;;;;
JARDINES DEL BUEN RETIRO;Pinus pinea;528;;;;;
JARDINES DEL BUEN RETIRO;Ulmus minor;467;;;;;
JARDINES DEL BUEN RETIRO;Ulmus pumila;462;;;;;
JARDINES DEL BUEN RETIRO;Otros;6.609;;;;;
PARQUE DEL OESTE;Pinus pinea;1.389;;;;;
PARQUE DEL OESTE;Sophora japonica;783;;;;;
PARQUE DEL OESTE;Platanus hispanica;631;;;;;
PARQUE DEL OESTE;Ligustrum japonicum;511;;;;;
PARQUE DEL OESTE;Pinus halepensis;438;;;;;
PARQUE DEL OESTE;Cedrus deodara;417;;;;;
PARQUE DEL OESTE;Populus alba bolleana;412;;;;;
PARQUE DEL OESTE;Prunus cerasifera pissardii;333;;;;;
PARQUE DEL OESTE;Celtis australis;287;;;;;
PARQUE DEL OESTE;Cedrus atlantica;272;;;;;
PARQUE DEL OESTE;Otros;2.573;;;;;
QUINTA DE LOS MOLINOS;Prunus dulcis;1.479;;;;;
QUINTA DE LOS MOLINOS;Pinus halepensis;1.459;;;;;
QUINTA DE LOS MOLINOS;Cupressus sempervirens;605;;;;;
QUINTA DE LOS MOLINOS;Pinus pinea;510;;;;;
QUINTA DE LOS MOLINOS;Eucalyptus sp;436;;;;;
QUINTA DE LOS MOLINOS;Ulmus sp;295;;;;;
QUINTA DE LOS MOLINOS;Platanus hispanica;272;;;;;
QUINTA DE LOS MOLINOS;Cedrus deodara;253;;;;;
QUINTA DE LOS MOLINOS;Gleditsia triacanthos;221;;;;;
QUINTA DE LOS MOLINOS;Celtis australis;193;;;;;
QUINTA DE LOS MOLINOS;Otros;1.528;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Cercis siliquastrum;735;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Cupressus sempervirens;326;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Pinus pinea;249;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Gleditsia triacanthos;225;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Fraxinus angustifolia;182;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Platanus hispanica;139;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Quercus robur;137;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Robinia pseudoacacia;121;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Aesculus hippocastanum;108;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Ulmus pumila;95;;;;;
"JARDIN ""EL CAPRICHO"" DE LA ALAMEDA DE OSUNA";Otros;1.288;;;;;
QUINTA DE LA FUENTE DEL BERRO;Ligustrum lucidum;335;;;;;
QUINTA DE LA FUENTE DEL BERRO;Cupressus sempervirens;138;;;;;
QUINTA DE LA FUENTE DEL BERRO;Aesculus hippocastanum;87;;;;;
QUINTA DE LA FUENTE DEL BERRO;Prunus cerasifera pissardii;62;;;;;
QUINTA DE LA FUENTE DEL BERRO;Cedrus deodara;59;;;;;
QUINTA DE LA FUENTE DEL BERRO;Acacia dealbata;48;;;;;
QUINTA DE LA FUENTE DEL BERRO;Trachycarpus fortunei;41;;;;;
QUINTA DE LA FUENTE DEL BERRO;Populus alba bolleana;31;;;;;
QUINTA DE LA FUENTE DEL BERRO;Celtis australis;27;;;;;
QUINTA DE LA FUENTE DEL BERRO;Platanus hispanica;26;;;;;
QUINTA DE LA FUENTE DEL BERRO;Otros;359;;;;;
CASA DE CAMPO;Pinus pinea;281.931;;;;;
CASA DE CAMPO;Quercux ilex;228.654;;;;;
CASA DE CAMPO;Cupressus arizonica;53.326;;;;;
CASA DE CAMPO;Ulmus sp;30.996;;;;;
CASA DE CAMPO;Fraxinus angustifolia;13.575;;;;;
CASA DE CAMPO;Pinus halepensis;9.081;;;;;
CASA DE CAMPO;Cupressus sempervirens;3.686;;;;;
CASA DE CAMPO;Platanus hispanica;2.490;;;;;
CASA DE CAMPO;Salix sp;1.493;;;;;
CASA DE CAMPO;Populus nigra;1.263;;;;;
CASA DE CAMPO;Otros;5.383;;;;;
