PARQUE;Altura Promedio (m);Perimetro Promedio (cm);Recién plantado y no consolidado;Joven;Maduro;Viejo;Otros;Total general;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;4,12;38,61;204;5.687;6.970;131;0;12.992;;;;;
PARQUE DE LA DEHESA DE LA VILLA;7,72;86,3;168;1.164;7.034;177;14;8.557;;;;;
Z.V. DISTRITO C-LAS TABLAS;3,78;12,37;0;1.670;45;0;0;1.715;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;12,6;80,17;85;557;2.515;381;8;3.546;;;;;
JARDINES DEL BUEN RETIRO;9,85;91,34;390;5.671;10.300;965;9;17.335;;;;;
JARDINES PLAZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;10,22;128,01;3;20;228;2;0;253;;;;;
JARDINES DE SABATINI;8,01;129,54;0;9;208;1;0;218;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;13,06;96,44;163;1.340;5.881;151;7;7.542;;;;;
QUINTA FUENTE DEL BERRO;10,13;81,94;27;216;885;13;5;1.146;;;;;
QUINTA DE LOS MOLINOS;12,92;63,49;42;306;6.611;37;0;6.996;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);13,65;158,0;0;14;66;36;0;116;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;3,87;26,75;1.991;3.454;269;104;0;5.818;;;;;
PARQUE JUAN CARLOS I;4,76;44,0;0;405;13.283;464;39;14.191;;;;;
PARQUE JUAN PABLO II;4,49;34,28;70;799;769;0;10;1.648;;;;;
PARQUE MADRID RÍO;5,58;32,49;0;8.480;6.985;187;1;15.653;;;;;
PARQUE LINEAL DEL MANZANARES;4,77;26,78;35;11.218;4.673;83;0;16.009;;;;;
TOTAL:;;;;;;;;113.735;;;;;
;;;;;;;;;;;;;
En el epígrafe Otros se han considerado los árboles decrépitos y los árboles todavía no clasificados en la base de datos.;;;;;;;;;;;;;
En el epígrafe Otros no se han considerado los árboles correspondientes a tocones.;;;;;;;;;;;;;
