distrito;especie;unidades
arganzuela;platanus_x_hybrida;3465
arganzuela;sophora_japonica;2299
arganzuela;ulmus_pumila;1480
arganzuela;pinus_pinea;1427
arganzuela;robinia_pseudoacacia;1368
arganzuela;celtis_australis;1357
arganzuela;acer_negundo;1294
arganzuela;ligustrum_japonicum;1255
arganzuela;melia_azedarach;1029
arganzuela;prunus_cerasifera_pissardii;786
arganzuela;otros;8338
barajas;platanus_x_hybrida;2639
barajas;robinia_pseudoacacia;752
barajas;celtis_australis;730
barajas;catalpa_bignonioides;724
barajas;prunus_cerasifera_pissardii;604
barajas;pinus_pinea;507
barajas;pinus_halepensis;470
barajas;melia_azedarach;435
barajas;sophora_japonica;434
barajas;acer_negundo;422
barajas;otros;6074
carabanchel;platanus_x_hybrida;7383
carabanchel;pinus_pinea;4434
carabanchel;ulmus_pumila;2793
carabanchel;sophora_japonica;2729
carabanchel;robinia_pseudoacacia;2578
carabanchel;celtis_australis;1771
carabanchel;acer_negundo;1376
carabanchel;gleditsia_triacanthos;1349
carabanchel;aesculus_hippocastanum;1051
carabanchel;ligustrum_japonicum;929
carabanchel;otros;14008
centro;ligustrum_japonicum;2715
centro;sophora_japonica;1555
centro;platanus_x_hybrida;956
centro;aesculus_hippocastanum;518
centro;platanus_hybrida;453
centro;ulmus_pumila;373
centro;robinia_pseudoacacia;342
centro;prunus_cerasifera_pissardii;330
centro;gleditsia_triacanthos;318
centro;ligustrum_japonicum_'variegata';316
centro;otros;4068
chamartin;platanus_x_hybrida;6193
chamartin;sophora_japonica;3748
chamartin;ulmus_pumila;2863
chamartin;pinus_pinea;1457
chamartin;robinia_pseudoacacia;1347
chamartin;celtis_australis;1073
chamartin;prunus_cerasifera_pissardii;1061
chamartin;ligustrum_japonicum;989
chamartin;populus_alba_bolleana;712
chamartin;aesculus_hippocastanum;673
chamartin;otros;6758
chamberi;sophora_japonica;6081
chamberi;platanus_hybrida;1540
chamberi;ulmus_pumila;965
chamberi;ligustrum_japonicum;632
chamberi;celtis_australis;628
chamberi;robinia_pseudoacacia;370
chamberi;aesculus_hippocastanum;267
chamberi;koelreuteria_paniculata;262
chamberi;prunus_cerasifera_pissardii;237
chamberi;melia_azedarach;187
chamberi;otros;2093
ciudad_lineal;platanus_x_hybrida;4793
ciudad_lineal;pinus_pinea;4403
ciudad_lineal;ulmus_pumila;4341
ciudad_lineal;sophora_japonica;1800
ciudad_lineal;robinia_pseudoacacia;1631
ciudad_lineal;prunus_cerasifera_pissardii;1619
ciudad_lineal;acer_negundo;1579
ciudad_lineal;pinus_halepensis;1093
ciudad_lineal;celtis_australis;1035
ciudad_lineal;ulmus_minor;1004
ciudad_lineal;otros;15869
fuencarral_-_el_pardo;platanus_x_hybrida;9333
fuencarral_-_el_pardo;ulmus_pumila;5494
fuencarral_-_el_pardo;celtis_australis;3524
fuencarral_-_el_pardo;pinus_pinea;3244
fuencarral_-_el_pardo;robinia_pseudoacacia;2498
fuencarral_-_el_pardo;prunus_cerasifera_pissardii;1953
fuencarral_-_el_pardo;acer_negundo;1800
fuencarral_-_el_pardo;melia_azedarach;1693
fuencarral_-_el_pardo;populus_x_canadensis;1588
fuencarral_-_el_pardo;aesculus_hippocastanum;1400
fuencarral_-_el_pardo;otros;23904
hortaleza;pinus_pinea;4560
hortaleza;platanus_x_hybrida;4280
hortaleza;acer_negundo;2432
hortaleza;celtis_australis;2216
hortaleza;cupressus_sempervirens;2023
hortaleza;prunus_cerasifera_pissardii;1777
hortaleza;ulmus_pumila;1620
hortaleza;populus_alba;1608
hortaleza;sophora_japonica;1406
hortaleza;robinia_pseudoacacia;1347
hortaleza;otros;22311
latina;platanus_x_hybrida;5645
latina;ulmus_pumila;5208
latina;pinus_pinea;2825
latina;robinia_pseudoacacia;2212
latina;prunus_cerasifera_pissardii;1960
latina;sophora_japonica;1626
latina;acer_negundo;1546
latina;celtis_australis;1522
latina;populus_alba_bolleana;1239
latina;ligustrum_japonicum;1196
latina;otros;16320
moncloa-aravaca;platanus_x_hybrida;5423
moncloa-aravaca;sophora_japonica;3002
moncloa-aravaca;ulmus_pumila;2482
moncloa-aravaca;acer_negundo;2168
moncloa-aravaca;pinus_pinea;1972
moncloa-aravaca;robinia_pseudoacacia;1657
moncloa-aravaca;cupressus_sempervirens;1364
moncloa-aravaca;catalpa_bignonioides;1001
moncloa-aravaca;ligustrum_japonicum;927
moncloa-aravaca;prunus_cerasifera_pissardii;863
moncloa-aravaca;otros;13469
moratalaz;ulmus_pumila;6240
moratalaz;pinus_pinea;2040
moratalaz;platanus_x_hybrida;2008
moratalaz;acer_negundo;1437
moratalaz;platanus_orientalis;1164
moratalaz;celtis_australis;1059
moratalaz;prunus_cerasifera_pissardii;860
moratalaz;acer_pseudoplatanus;794
moratalaz;catalpa_bignonioides;761
moratalaz;melia_azedarach;513
moratalaz;otros;7870
puente_de_vallecas;platanus_x_hybrida;4634
puente_de_vallecas;platanus_orientalis;4578
puente_de_vallecas;robinia_pseudoacacia;3979
puente_de_vallecas;ulmus_pumila;3503
puente_de_vallecas;sophora_japonica;3174
puente_de_vallecas;pinus_pinea;2730
puente_de_vallecas;acer_negundo;2680
puente_de_vallecas;ligustrum_japonicum;2217
puente_de_vallecas;catalpa_bignonioides;1348
puente_de_vallecas;acer_pseudoplatanus;1167
puente_de_vallecas;otros;16039
retiro;platanus_x_hybrida;2545
retiro;sophora_japonica;2256
retiro;ulmus_pumila;2071
retiro;ligustrum_japonicum;976
retiro;pinus_pinea;901
retiro;robinia_pseudoacacia;725
retiro;cupressocyparis_leilandii;462
retiro;cupressus_sempervirens;416
retiro;celtis_australis;369
retiro;cupressus_arizonica;357
retiro;otros;4126
salamanca;sophora_japonica;6829
salamanca;platanus_x_hybrida;2550
salamanca;ligustrum_japonicum;1860
salamanca;pinus_pinea;1081
salamanca;ulmus_pumila;958
salamanca;aesculus_hippocastanum;670
salamanca;robinia_pseudoacacia;643
salamanca;prunus_cerasifera_pissardii;608
salamanca;acer_negundo;441
salamanca;populus_alba_bolleana;427
salamanca;otros;6618
san_blas_-_canillejas;platanus_x_hybrida;7680
san_blas_-_canillejas;pinus_pinea;3091
san_blas_-_canillejas;acer_negundo;2281
san_blas_-_canillejas;celtis_australis;2105
san_blas_-_canillejas;robinia_pseudoacacia;2104
san_blas_-_canillejas;pinus_halepensis;1711
san_blas_-_canillejas;aesculus_hippocastanum;1572
san_blas_-_canillejas;ulmus_pumila;1490
san_blas_-_canillejas;ulmus_sp;1384
san_blas_-_canillejas;ligustrum_japonicum;1114
san_blas_-_canillejas;otros;15128
tetuan;platanus_hybrida;4078
tetuan;ligustrum_japonicum;951
tetuan;ulmus_pumila;891
tetuan;prunus_cerasifera_pissardii;751
tetuan;platanus_x_hybrida;590
tetuan;sophora_japonica;564
tetuan;pinus_pinea;551
tetuan;aesculus_hippocastanum;488
tetuan;cupressus_sempervirens;456
tetuan;melia_azedarach;453
tetuan;otros;5387
usera;platanus_x_hybrida;5109
usera;ulmus_pumila;3940
usera;robinia_pseudoacacia;2245
usera;pinus_pinea;2230
usera;acer_negundo;1357
usera;celtis_australis;1259
usera;sophora_japonica;1109
usera;cedrus_deodara;783
usera;prunus_cerasifera;751
usera;populus_alba;731
usera;otros;12407
vicalvaro;platanus_orientalis;1943
vicalvaro;robinia_pseudoacacia;1576
vicalvaro;ligustrum_japonicum;1568
vicalvaro;platanus_x_hybrida;1548
vicalvaro;pinus_pinea;1445
vicalvaro;aesculus_hippocastanum;1396
vicalvaro;sophora_japonica;1307
vicalvaro;acer_negundo;1263
vicalvaro;celtis_australis;1135
vicalvaro;ulmus_pumila;839
vicalvaro;otros;8800
villa_de_vallecas;platanus_x_hybrida;5249
villa_de_vallecas;pinus_halepensis;2909
villa_de_vallecas;acer_negundo;2428
villa_de_vallecas;celtis_australis;2368
villa_de_vallecas;ulmus_pumila;2106
villa_de_vallecas;robinia_pseudoacacia;2029
villa_de_vallecas;aesculus_hippocastanum;1283
villa_de_vallecas;cupressus_sempervirens;1263
villa_de_vallecas;prunus_cerasifera_pissardii;1002
villa_de_vallecas;melia_azedarach;930
villa_de_vallecas;otros;15041
villaverde;ulmus_pumila;5853
villaverde;celtis_australis;3125
villaverde;platanus_x_hybrida;3039
villaverde;ligustrum_japonicum;2327
villaverde;pinus_pinea;2071
villaverde;robinia_pseudoacacia;1943
villaverde;pinus_halepensis;1825
villaverde;aesculus_hippocastanum;1625
villaverde;melia_azedarach;1584
villaverde;prunus_cerasifera_pissardii;1440
villaverde;otros;15929
;;642789
