parque;especie_predominante;unidades_2020;superficie_ocupada__(m2)_;superficie_(ha);superficie_total__parque_(ha)
parque_lineal_del_manzanares;pinus_halepensis;1726;;;
parque_lineal_del_manzanares;pinus_pinea;571;;;
parque_lineal_del_manzanares;otros;38;;;
;;;;;
parque_lineal_del_manzanares;;2.335;334.491,63;33,45;88,22
;;;;;
parque_forestal_de_valdebebas-_felipe_vi;pinus_pinea;53.241;2.900.300,05;290,03;387,55
;;;(comprende_las_zonas_en_conservacion_y_con_bajo_mantenimiento);;superficie_total_ejecutada_del_parque_
;;;;;
parque_madrid_rio;pinus_halepensis;2.881;92.970,17;9,30;105,71
;;;;;
;;;;;
casa_de_campo_(zona_forestal);pinus_pinea;482.175;9.463.245,76;946,32;
casa_de_campo_(zona_urbana);pinus_pinea;210.820;4.071.257,49;407,13;
casa_de_campo_(total);pinus_pinea;692.995;13.534.503,24;1.353,45;1.495,61
;;;;;
;;;;;
parque_juan_pablo_ii_(pinar);pinus_halepensis_;8.473;148.793,57;14,88;29,60
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
nota_1:_para_calcular_el_n_de_pies_de_las_diferentes_masas_forestales_y_arboreas_de_los__parques_se_ha_utilizado_el_dato_de_densidad_(ud/ha)_de_cada_masa,_valor_diferente_para_cada_una_de_ellas._;;;;;
;;;;;
;;;;;
;;;;;
nota_2:_los_datos_de_superficie_se_refieren_a_la_superfice_ocupada_por_la_masas_forestales/arboreas_dentro_de_cada_parque,_valor_que_difiere_de_la_superficie_total_del_parque;;;;;
;;;;;
;;;;;
nota_3:_los_datos_siempre_se_refieren_a_las_zonas_actualmente_en_conservacion_por_parte_del_ayuntamiento;;;;;
