distrito;especie_predominante;unidades
arganzuela;;0
barajas;pinus_halepensis;2102
carabanchel;pinus_halepensis;28160
centro;;0
chamartin;;0
chamberi;;0
ciudad_lineal;pinus_halepensis;6973
fuencarral_-_el_pardo;pinus_pinea;33826
hortaleza;pinus_pinea;30819
latina;pinus_pinea;33127
moncloa-aravaca;pinus_pinea;36334
moratalaz;pinus_halepensis;4452
puente_de_vallecas;pinus_halepensis;30068
retiro;;0
salamanca;;0
san_blas_-_canillejas;pinus_pinea;6480
tetuan;pinus_halepensis;3310
usera;;0
vicalvaro;pinus_halepensis;16232
villa_de_vallecas;pinus_halepensis;40785
villaverde;pinus_pinea;13816
;;286484
